Timestamp,Current_Workers,CPU_Usage_Percent,Pending_Pods,Current_Req_Cores,Predicted_Req_Cores,Action,Reason
2026-02-19 14:43:35,1,80.47,13,5.05,6.97,SCALE_OUT,[Emergency] Detected 13 Pending Pods
2026-02-19 14:44:46,2,67.2,0,7.5,8.44,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 14:45:47,2,64.81,0,7.1,7.88,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 14:46:48,2,63.24,0,7.1,7.27,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 14:47:49,2,59.76,0,6.7,5.4,DO_NOTHING,System is stable
2026-02-19 14:48:50,2,60.0,0,6.1,4.63,DO_NOTHING,System is stable
2026-02-19 14:49:50,2,49.95,0,5.5,4.01,DO_NOTHING,System is stable
2026-02-19 14:50:51,2,44.57,0,5.1,3.62,DO_NOTHING,System is stable
2026-02-19 14:51:52,2,40.46,0,4.7,3.23,DO_NOTHING,System is stable
2026-02-19 14:52:53,2,37.12,0,4.1,3.01,DO_NOTHING,System is stable
2026-02-19 14:53:54,2,30.66,0,3.9,3.09,DO_NOTHING,System is stable
2026-02-19 14:54:55,2,32.6,0,4.1,3.18,DO_NOTHING,System is stable
2026-02-19 14:55:55,2,32.86,0,3.9,3.16,DO_NOTHING,System is stable
2026-02-19 14:56:56,2,30.79,0,3.9,3.35,DO_NOTHING,System is stable
2026-02-19 14:57:57,2,28.69,0,3.7,3.46,DO_NOTHING,System is stable
2026-02-19 14:58:58,2,34.16,0,4.3,4.1,DO_NOTHING,System is stable
2026-02-19 14:59:59,2,42.24,0,4.9,4.86,DO_NOTHING,System is stable
2026-02-19 15:00:59,2,47.96,0,5.5,5.58,DO_NOTHING,System is stable
2026-02-19 15:02:00,2,48.75,0,5.5,5.71,DO_NOTHING,System is stable
2026-02-19 15:03:01,2,52.73,0,5.9,6.16,DO_NOTHING,System is stable
2026-02-19 15:04:02,2,54.95,0,6.1,6.42,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:05:03,2,61.08,1,7.3,7.49,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:06:03,2,64.86,0,7.1,7.34,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:07:04,2,65.88,0,7.3,7.21,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:08:05,2,67.03,0,7.3,7.15,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:09:06,2,64.81,0,7.3,6.95,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:10:07,2,70.96,0,8.1,7.6,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:11:08,2,76.56,2,8.9,8.43,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:12:08,2,76.75,2,8.9,8.3,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:13:09,2,77.74,4,8.9,8.12,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:14:10,2,77.85,4,8.9,7.99,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:15:11,2,77.22,6,8.9,7.9,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:16:12,2,75.8,5,8.9,7.87,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:17:13,2,77.2,5,8.9,7.85,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:18:13,2,76.64,5,8.9,7.83,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:19:14,2,76.49,5,8.9,7.79,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:20:15,2,76.63,4,8.9,7.7,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:21:16,2,76.9,5,8.9,7.63,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:22:17,2,76.53,6,8.9,7.57,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:23:18,2,76.55,3,8.9,7.49,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:24:18,2,76.85,2,8.9,7.39,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:25:19,2,76.54,0,8.9,7.33,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:26:20,2,72.92,0,8.3,6.59,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:27:21,2,70.15,0,7.5,5.72,DO_NOTHING,System is stable
2026-02-19 15:28:22,2,64.71,0,7.1,5.35,DO_NOTHING,System is stable
2026-02-19 15:29:23,2,61.86,0,6.3,4.49,DO_NOTHING,System is stable
2026-02-19 15:30:23,2,57.45,0,5.7,3.92,DO_NOTHING,System is stable
2026-02-19 15:31:24,2,48.25,0,5.3,3.59,DO_NOTHING,System is stable
2026-02-19 15:32:25,2,50.01,0,5.5,3.73,DO_NOTHING,System is stable
2026-02-19 15:33:26,2,45.48,0,4.9,3.13,DO_NOTHING,System is stable
2026-02-19 15:34:27,2,42.21,0,4.9,3.13,DO_NOTHING,System is stable
2026-02-19 15:35:28,2,34.65,0,4.3,2.89,DO_NOTHING,System is stable
2026-02-19 15:36:28,2,27.04,0,3.7,3.13,DO_NOTHING,System is stable
2026-02-19 15:37:29,2,27.41,0,3.7,3.34,DO_NOTHING,System is stable
2026-02-19 15:38:30,2,27.34,3,4.3,3.72,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:39:31,2,35.17,0,4.5,3.92,DO_NOTHING,System is stable
2026-02-19 15:40:32,2,35.04,0,4.3,3.8,DO_NOTHING,System is stable
2026-02-19 15:47:19,2,34.84,0,4.3,6.41,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:47:21,2,35.54,0,4.3,6.41,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:47:23,2,35.54,0,4.3,6.41,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-02-19 15:47:25,2,35.54,0,4.3,6.41,DO_NOTHING,Blocked: Max Workers (2) Reached
